ID,SiteID,SiteName,StreamID,StreamName,TimeStamp,Value
9446699821,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 18:03:03,90
9446699893,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 18:13:00,74.0375
9446699822,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 18:13:03,90
9446699894,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 18:23:00,74.1125
9446699823,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 18:23:03,90
9446699895,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 18:33:00,74.175
9446699824,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 18:33:03,90
9446699896,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 18:43:00,75.8125
9446699825,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 18:43:03,90
9446699897,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 18:53:00,73.4125
9446699826,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 18:53:03,90
9446699898,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 19:03:00,73
9446699827,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 19:03:03,90
9446699899,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 19:13:00,78.35
9446699828,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 19:13:03,90
9446699900,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 19:23:00,79.4125
9446699829,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 19:23:03,90
9446699901,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 19:33:00,77.9125
9446699830,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 19:33:03,90
9446699902,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 19:43:00,76.7125
9446699831,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 19:43:03,90
9446699903,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 19:53:00,78.4125
9446699832,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 19:53:03,90
9446699904,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 20:03:00,73.3125
9446699833,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 20:03:03,90
9446699905,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 20:13:00,76.9
9446699834,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 20:13:03,90
9446699906,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 20:23:00,77.7125
9446699835,17469,12001 Great Commission Way (BL40126032R),249715,Battery Life,08/07/2021 20:23:03,90
9446699907,17469,12001 Great Commission Way (BL40126032R),249721,Pressure sensor,08/07/2021 20:33:00,75.8875
9446620001,17470,10868 Longleaf Woods Dr. (BL88826001R),249731,Communication Status,08/07/2021 20:34:53,2
